№,Качество
1," Смелость, не бояться заявлять о себе, принимать рисковые решения. Продвигать нестандартные решения с неоднозначной реакцией на них и не 100% результатом. "
1,"Трусость, консерватизм, приверженность привычным методам, страх брать ответственность за риски. "
2," Широта опыта и кругозора в принципе, и, в частности, в технологиях и цифровых инструментах. "
2,"Отсутствие любознательности, стремление ""потчевать на лаврах"", ригидность. Она может быть вызвана соображениями прагматичности, но порядок можно наводить до бесконечности и не расширяться.  "
3, Умение свой цифровой vision операционализировать (make sense of it)
3,"Люди совсем ""космические"". Человек может иметь очень хорошее видение, но не умеет питчить (engaging and influencing). Не умеет заинтересовывать людей и получать ресурсы. "
4," Умение привлекать, удерживать и вдохновлять ""звезд"" так, чтобы они производили пользу."
4,"self-absorbed, too much personal ego, which doesn't allow other people to shine (страх конкуренции, too formal, not there for them [""starts""] when needed) "
5," Engaging organisation, ability to operationalise and execute the vision"
5,"Not effective operational manager, doesn't deliver "
6, Готовность к риску и неизвестным проектам (подписывать компанию или себя под проекты без гарантированного результата)
6,"Фокус на ту деятельность, которую компания умеет делать. Знает, как "
7," ""Строит космос"" - запускает бизнес-модель, не представляя, как он будет окупаться. Запускает сервис ради пользы и удобства пользователя, узнаваемости бренда. (Customer value). Главное - ценность для клиента."
7,"Готовность вкладывать только в те проекты, у которых видна окупаемость. Каждое действие экономически оправдано. Просчитывает эффективность предполагаемых действий. Главное - бизнес-модель. "
8," Горизонт планирования (commited plan) 6-12 мес. Готовность отказаться от гипотезы, которая провалилась."
8,Горизонт планирования (commited plan) 2-3 года 
9, Big ambition. Неограниченный горизонт мечтания. Создание рынка.
9,"Биться за процентные пункты доли рынка. Работа с ""потолком"", определяемым рынком. "
10," Lead by example - чтобы людям хотелось брать образ этого человека за ролевую модель (харизма, опыт, личная экспертиза, с человеком комфортно работать, честный карьерный путь)"
10,"Lead by authority. Опора на формальный авторитет, ""семейственность"". "
11," Holistic view of the  business. Понимать имплементацию бизнеса от А до Я. Понимает всю цепочку создания ценности. Видит, как реализовать затею (потенциальные риски на разных этапах)"
11,"Узкий специалист в определенной бизнес-функции. Понимает свою сферу, вертикаль, за которую отвечаешь. Думает о функции, а не бизнесе в целом. "
12," Готовность инициировать изменения, готовность сказать ""пересматриваем бизнес-модель"". Открытость, чувствительность к тенденциям в далеких сферах, умение откликнуться на них и имплементировать соответствующие изменения."
12,"Приверженность выбранной бизнес-модели, модели поведения, не готовность гибко менять модель. ""Раньше работало, и сейчас сработает!"" "
13, Микроменеджер
13,"Стратегическое виденье, концептуальное мышление, визионерство "
14," Мотивирующий, поддерживающий, развивающий лидер, ориентированный на людей"
14,"Недоверчивый, жесткий, вспыльчивый "
15," Склонен к сотрудничеству, налаживает отношения и связи"
15,"Закрытый, строит иерархические отношения, возводит стены между подразделениями "
16," Проактивный, драйвовый, нацеленный на результат"
16,"Реактивный, ориентирован на статус-кво, поддержание процесса "
17," Инновационность, креативность, любознательность"
17,"Традиционность, нелюбознательность, закрытость "
18," Традиционалист, придерживается сложившихся способов развития бизнеса"
18,"Открыт к изменениям, экспериментатор "
19," Оппортунистическая, разнообразная карьера со множеством переходов и рисков"
19,"Стабильная карьера, безопасность "
20," Корпоративный, понимающий как работают большие системы, налаживающий корпоративную системность"
20,"Digital native, вырос в предпринимательской, стартап-среде "
21," Аналитический склад ума , системность, рациональность, опирается на цифры и расчеты"
21,"Интуитивность, полагается на жизненный и профессиональный опыт, ""чуйку"" "
22," Ментальный оптимизм, вера в возможность решения любой задачи"
22,"Ментальный пессимизм, установка на нерешаемость задачи "
23," Управленческая зрелость, мыслит сложными и богатыми категориями, умение жить с парадоксами"
23,"Поверхностность, управленческая незрелость, мыслит упрощениями, не учитывает сложность мира и обстоятельств "
24," Быстрая проверка гипотез, быстрая обработка данных и принятие решений"
24,Взвешенное принятие решений с ориентацией на множество разнородных факторов в отсутствие быстрых и легко верифицируемых метрик 
25," Гибкость, умение приспосабливаться под меняющиеся обстоятельства и среду"
25,"Консерватизм, статичность, вера в правильность сложившихся моделей (зачем менять, если всегда работало) "
26," Прекрасно понимают рынок и обладают визионерским мышлением, и видением. Видят рынок продукта и рынок труда в перспективе, понимают как развивать портфель для своего бизнеса.  "
26,"Классическое мышление, что продукт на данный момент хорош, и его не надо улучшать. Те управленцы, которые недостаточно гибки, и не развивают продукт, корпоративную культуру, и своих сотрудников.  "
27, Клиентские решения: Постоянные инновационные продукты и быстрый рол-аут (time to market) 
27,"Отсутствие инновационности, чувствительности рынка к нужным продуктам, либо провал по срокам, либо ненужное, либо очень долго.  "
28," Корп. культура: помогаешь сотрудникам развиваться, правильные процессы изменений (change managment ), абсолютная гибкость как работодателя, работа с цифровым следом для принятия грамотных управленческих решений. Искать розу в навозе. Нанимать людей, которые ""умнее и голоднее тебя"" Команда круче, чем сам лидер, и лидер к этому готов и стремится к этому. "
28,"Негибкий подход к управлению кадрами, жесткий график, нет гибкого поощрения, нет кадрового быстрого роста. Зацикленность на себе как на руководителе, моё решение правильное, последнее слово за мной, авторитарность, боязнь со стороны сотрудников. Сотрудники боятся улучшать и проявлять инициативу.  "
29," Операционные процессы: прекрасно разбирается в деталях бизнеса, как оперирует компания. Четко понимает цепочку ценностей всех процессов. Гибкость, подстраивается под кризисные ситуации, готов менять классические бизнес-модели. Готов рассматривать разные точки зрения. Открыт к реальным аналитическим данным и умеет работать с аналитикой."
29,"Отсутствие гибкости, в кризисной ситуации действует только исходя из своего решения, не рассматривает альтернативные варианты, не готов отходить от классических бизнес-моделей. Последнее слово за руководителем, не прислушивается к аналитике.  "
30," Технологии и IT: открытость к инновационным решениям и новым разработкам, выделение средств на R&D, визионерство (понимание и изучение трендов рынков). Открыты к диалогу, считают, что незнание - это не стыдно. Жажда к обучению. "
30,"Страх от использования инновационных решений. Это сложно, это непонятно. Страх самому себе признаться, что я в чем-то не разбираюсь. Большие топы зачастую боятся показаться некомпетентными. Боятся, что не справятся или что их будут ругать за то, что они сами это не предложили.  "
31," Визабилити. Публичность, использование соцсетей, открыт к самым разным площадкам для обсуждений и обмена мнениями. Сами лично общаются и несут свою идею в общество. Сап Топ в цифровом инновационном поле. "
31,"Закрытость, годовые отчеты инвесторам, участие в классических и типовых узко профессиональных форумах. "
32," Работа с постановкой целей. 360 градусов фидбек, SMART цели и их реализация. Короткий цикл постановки целей, постоянная ревизия и улучшение целей, и готовность их адаптировать и менять. "
32,"Каскадная модель целеполагания. Ежегодное планирование целей, без возможности их поменять.  "
