Черновые ID;Значение 
ПН1;Умение работать с системами контроля версий - развитие
ПН2;Автоматизация рутинных задач (bash, python) - развитие
ПН3;Понимание архитектуры компьютеров и ОС (процессоры, память, сеть и их взаимодействие) - начальный
ПН4;Написание SQL запросов и понимание принципов построения БД - развитие
ПН5;Знание профильного языка программирования C++ (новые стандарты языка, STL, Boost) - развитие
ПН6;Автономность_backend - начальный (может сделать простейшую задачу по подробной инструкции)
ПН7;Умение работать с системами контроля версий - опыт
ПН8;Автоматизация рутинных задач (bash, python) - опыт
ПН9;Понимание архитектуры компьютеров и ОС (процессоры, память, сеть и их взаимодействие) - развитие
ПН10;Написание SQL запросов и понимание принципов построения БД - опыт
ПН11;Знание профильного языка программирования C++ (новые стандарты языка, STL, Boost) - опыт
ПН12;Навыки разработки на дополнительном языке программирования python - развитие
ПН13;Многопоточное программирование С++ (процессы, потоки, способы синхронизации) - развитие
ПН14;Тестирование (принципы модульного и функционального тестирования, понимание опасных мест, требующих тестов) - развитие
ПН15;Автономность_backend - развитие (с простыми типизированными задачами справляется самостоятельно)
ПН16;Умение работать с системами контроля версий - опыт
ПН17;Автоматизация рутинных задач (bash, python) - опыт
ПН18;Понимание архитектуры компьютеров и ОС (процессоры, память, сеть и их взаимодействие) - опыт
ПН19;Написание SQL запросов и понимание принципов построения БД - опыт
ПН20;Знание профильного языка программирования C++ (новые стандарты языка, STL, Boost) - опыт
ПН21;Навыки разработки на дополнительном языке программирования python - опыт
ПН22;Многопоточное программирование С++ (процессы, потоки, способы синхронизации) - опыт
ПН23;Тестирование (принципы модульного и функционального тестирования, понимание опасных мест, требующих тестов) - опыт
ПН24;Анализ и обработка данных (инструменты визуализации, представление аналитической информации в удобном графическом виде) - развитие
ПН25;Проектирование архитектуры сервисов - опыт (выбор технологий, алгоритмических решений, оптимизация, организация резервирования, мониторинга) - развитие
ПН26;Автономность_backend - опыт (умеет делать задачи по подготовленному высокоуровневому ТЗ)
ПН27;Умение работать с системами контроля версий - опыт
ПН28;Автоматизация рутинных задач (bash, python) - опыт
ПН29;Понимание архитектуры компьютеров и ОС (процессоры, память, сеть и их взаимодействие) - опыт
ПН30;Написание SQL запросов и понимание принципов построения БД - опыт
ПН31;Знание профильного языка программирования C++ (новые стандарты языка, STL, Boost) - опыт
ПН32;Навыки разработки на дополнительном языке программирования python - опыт
ПН33;Многопоточное программирование С++ (процессы, потоки, способы синхронизации) - опыт
ПН34;Тестирование (принципы модульного и функционального тестирования, понимание опасных мест, требующих тестов) - опыт
ПН35;Анализ и обработка данных (инструменты визуализации, представление аналитической информации в удобном графическом виде) - опыт
ПН36;Проектирование архитектуры сервисов - опыт (выбор технологий, алгоритмических решений, оптимизация, организация резервирования, мониторинга) - опыт
ПН37;Автономность_backend - мастерство (самостоятельно делает любые задачи по ТЗ + комментирует и выявляет проблемные места в ТЗ)
ПН38;Написание кода
ПН39;Работа с ошибками
ПН40;Использование инструментария операционной системы
ПН41;Использование систем контроля версий
ПН42;Скорость работы
ПН43;Простота кода
ПН44;Ревью кода
ПН45;Spark
ПН46;Scala
ПН47;Python
ПН48;Написание кода
ПН49;Работа с ошибками
ПН50;Знание инфраструктуры/архитектуры
ПН51;Использование инструментария операционной системы
ПН52;Использование систем контроля версий
ПН53;Скорость работы
ПН54;Простота кода
ПН55;Ревью кода
ПН56;Spark
ПН57;Scala
ПН58;Python
ПН59;Документация
ПН60;Принципы объектно-ориентированного программирования и понимание Web-технологий 
ПН61;Автономность 
ПН62;Информационная безопасность 
ПН63;Простота кода 
ПН64;Архитектура компьютеров и операционных систем 
ПН65;Принципы объектно-ориентированного программирования и понимание Web-технологий 
ПН66;Автономность 
ПН67;System Design 
ПН68;Асинхронное программирование 
ПН69;Ревью кода 
ПН70;Информационная безопасность 
ПН71;Простота кода 
ПН72;Разработка технической документации 
ПН73;Архитектура компьютеров и операционных систем 
ПН74;Принципы объектно-ориентированного программирования и понимание Web-технологий 
ПН75;Автономность 
ПН76;System Design 
ПН77;Асинхронное программирование 
ПН78;Ревью кода 
ПН79;Информационная безопасность 
ПН80;Простота кода 
ПН81;Разработка технической документации 
ПН82;Архитектура компьютеров и операционных систем 
